Receiver ID, Sender ID, Timestamp, RSSI
2, 5, 26/01/2024 23:17:39 GPS, -82
2, 4, 26/01/2024 23:17:39 GPS, -81
2, 1, 26/01/2024 23:17:39 GPS, -76
2, 3, 26/01/2024 23:17:39 GPS, -82
2, 5, 26/01/2024 23:17:59 GPS, -81
2, 4, 26/01/2024 23:17:59 GPS, -82
2, 3, 26/01/2024 23:17:59 GPS, -81
2, 1, 26/01/2024 23:17:59 GPS, -76
2, 1, 26/01/2024 23:18:19 GPS, -76
2, 5, 26/01/2024 23:18:19 GPS, -82
2, 4, 26/01/2024 23:18:19 GPS, -81
2, 3, 26/01/2024 23:18:19 GPS, -81
2, 5, 26/01/2024 23:18:39 GPS, -82
2, 4, 26/01/2024 23:18:39 GPS, -82
2, 1, 26/01/2024 23:18:39 GPS, -76
2, 3, 26/01/2024 23:18:39 GPS, -82
2, 1, 26/01/2024 23:18:58 GPS, -76
2, 5, 26/01/2024 23:18:58 GPS, -82
2, 4, 26/01/2024 23:18:59 GPS, -82
2, 3, 26/01/2024 23:18:59 GPS, -81
2, 1, 26/01/2024 23:19:18 GPS, -76
2, 5, 26/01/2024 23:19:18 GPS, -82
2, 4, 26/01/2024 23:19:18 GPS, -82
2, 3, 26/01/2024 23:19:19 GPS, -81
2, 5, 26/01/2024 23:19:38 GPS, -82
2, 4, 26/01/2024 23:19:38 GPS, -81
2, 3, 26/01/2024 23:19:39 GPS, -81
2, 1, 26/01/2024 23:19:39 GPS, -76
2, 5, 26/01/2024 23:19:58 GPS, -82
2, 4, 26/01/2024 23:19:58 GPS, -82
2, 3, 26/01/2024 23:19:59 GPS, -82
2, 4, 26/01/2024 23:20:18 GPS, -82
2, 5, 26/01/2024 23:20:18 GPS, -81
2, 1, 26/01/2024 23:20:18 GPS, -76
2, 3, 26/01/2024 23:20:19 GPS, -82
2, 5, 26/01/2024 23:20:38 GPS, -82
2, 4, 26/01/2024 23:20:38 GPS, -82
2, 1, 26/01/2024 23:20:38 GPS, -76
2, 3, 26/01/2024 23:20:38 GPS, -81
2, 5, 26/01/2024 23:20:58 GPS, -82
2, 4, 26/01/2024 23:20:58 GPS, -81
2, 3, 26/01/2024 23:20:58 GPS, -81
2, 1, 26/01/2024 23:20:58 GPS, -76
2, 1, 26/01/2024 23:21:18 GPS, -76
2, 4, 26/01/2024 23:21:18 GPS, -81
2, 5, 26/01/2024 23:21:18 GPS, -82
2, 3, 26/01/2024 23:21:18 GPS, -82
2, 5, 26/01/2024 23:21:38 GPS, -82
2, 4, 26/01/2024 23:21:38 GPS, -81
2, 3, 26/01/2024 23:21:38 GPS, -82
2, 1, 26/01/2024 23:21:38 GPS, -76
2, 5, 26/01/2024 23:21:58 GPS, -81
2, 4, 26/01/2024 23:21:58 GPS, -81
2, 3, 26/01/2024 23:21:58 GPS, -81
2, 1, 26/01/2024 23:21:58 GPS, -76
2, 5, 26/01/2024 23:22:18 GPS, -81
2, 4, 26/01/2024 23:22:18 GPS, -82
2, 1, 26/01/2024 23:22:18 GPS, -76
2, 3, 26/01/2024 23:22:18 GPS, -82
2, 5, 26/01/2024 23:22:38 GPS, -82
2, 4, 26/01/2024 23:22:38 GPS, -81
2, 1, 26/01/2024 23:22:38 GPS, -76
2, 3, 26/01/2024 23:22:38 GPS, -81
2, 5, 26/01/2024 23:22:58 GPS, -81
2, 3, 26/01/2024 23:22:58 GPS, -82
